Malicious Activities, Name, cx, cy
1%, Israel, 34.994482401337336, 31.450547043476995
9%, China, 103.87901509650354, 36.551349613219365
3%, Turkey, 35.05690777537453, 39.09235423641447
3%, Poland, 19.444614909198542, 52.13051342538697
2%, Taiwan, 120.93804361452014, 23.738677795317653
1%, Argentina, -65.11144094342832, -35.54989647239696
1%, Australia, 134.4911523154539, -25.789935836907773
2%, Mexico, -102.55724620411486, 23.96119046132988
23%, United States of America, -69.68794312871404, 25.66735553783397
3%, India, 78.38529895382264, 22.633425818797452
4%, Brazil, -52.99096259920762, -10.650863801537344
3%, France, 2.4384139983638167, 46.613791121960624
3%, Italy, 12.336912728007963, 43.068528784430065
6%, Germany, 10.40825705600588, 51.13450813400379
5%, United Kingdom, -2.988841470382993, 54.16511696267546
2%, Canada, -100.70166292321042, 58.669867627446955
2%, Russia, 99.87879537359377, 62.04351952803113
4%, Spain, -3.5533217019294208, 40.38421703977053
2%, South Korea, 127.79877660471173, 36.38512919469804
2%, Japan, 136.67810628974985, 35.916063371784034
